,ch1,ArrayHeight,ArrayWeidth,IfmapSramSz,FilterSramSz,OfmapSramSz,bandwidth,map,cycle,acc,distance
124,6.0,64.0,28.0,85.0,33.0,8.0,32.0,2.0,803143.0,91.06,0.010159025394142807
1,6.0,42.0,60.0,9.0,108.0,61.0,32.0,1.0,1389660.0,91.06,0.022857038566656045
5,6.0,63.0,35.0,77.0,51.0,37.0,32.0,1.0,1701540.0,91.06,0.029609198091858944
2,5.0,54.0,7.0,98.0,65.0,15.0,32.0,3.0,1918043.0,90.75,0.06848054973305892
9,7.0,38.0,42.0,122.0,79.0,79.0,32.0,2.0,644057.0,90.61,0.08630368452352052
