,ch1,ArrayHeight,ArrayWeidth,IfmapSramSz,FilterSramSz,OfmapSramSz,bandwidth,map,cycle,acc,distance
77,1.0,64.0,64.0,54.0,50.0,128.0,32.0,2.0,333901.0,91.06,0.0
81,1.0,64.0,64.0,108.0,10.0,88.0,32.0,2.0,333901.0,91.06,0.0
90,1.0,64.0,64.0,93.0,127.0,126.0,32.0,2.0,333901.0,91.06,0.0
92,1.0,64.0,64.0,100.0,81.0,11.0,32.0,2.0,333901.0,91.06,0.0
100,1.0,64.0,64.0,8.0,128.0,8.0,32.0,2.0,333901.0,91.06,0.0
