,ch1,ArrayHeight,ArrayWeidth,IfmapSramSz,FilterSramSz,OfmapSramSz,bandwidth,map,cycle,acc,distance
148,2.0,25.0,64.0,79.0,45.0,106.0,32.0,2.0,437045.0,91.06,0.00675156360299417
56,2.0,43.0,60.0,98.0,72.0,74.0,32.0,2.0,453008.0,91.06,0.008391578360353046
63,2.0,37.0,57.0,128.0,49.0,116.0,32.0,2.0,462993.0,91.06,0.00941742233405651
80,2.0,37.0,57.0,121.0,59.0,128.0,32.0,2.0,462993.0,91.06,0.00941742233405651
85,2.0,37.0,57.0,121.0,60.0,128.0,32.0,2.0,462993.0,91.06,0.00941742233405651
