,ch1,ArrayHeight,ArrayWeidth,IfmapSramSz,FilterSramSz,OfmapSramSz,bandwidth,map,cycle,acc,distance
131,1.0,59.0,64.0,128.0,128.0,128.0,32.0,2.0,370722.0,91.03,0.003768443712882682
89,1.0,57.0,64.0,106.0,15.0,74.0,32.0,2.0,370756.0,91.03,0.003771923441467946
130,1.0,57.0,64.0,84.0,8.0,39.0,32.0,2.0,370756.0,91.03,0.003771923441467946
146,1.0,57.0,64.0,127.0,8.0,8.0,32.0,2.0,370756.0,91.03,0.003771923441467946
151,1.0,57.0,64.0,99.0,8.0,16.0,32.0,2.0,370756.0,91.03,0.003771923441467946
