uid,score,acc
1727,-160.9662955,22.88576645
3998,-160.967063,23.87711158
2779,-160.9748857,22.6376875
3563,-160.9769417,24.21475492
3515,-160.9792175,24.80243517
3642,-160.9802455,23.63578502
3807,-160.98308,23.8377298
1963,-160.9844059,24.77389007
1790,-160.9878531,23.17026308
3742,-160.9894438,22.92892221
3566,-160.991266,23.87674108
3694,-160.994843,24.72841096
2970,-160.9961687,22.91935435
3803,-161.002152,23.79772396
2043,-161.0038746,25.29737251
2699,-161.0041519,20.62054285
3806,-161.0048454,23.20174698
1770,-161.0072226,21.71620238
2042,-161.0101543,24.59525751
2974,-161.0110979,22.44013038
2554,-161.0129906,23.09029341
2543,-161.0136873,24.03706565
2971,-161.0184864,23.63583613
4059,-161.0186451,24.64990394
3579,-161.019691,23.69109148
2027,-161.0204445,23.48325219
3722,-161.0225851,23.94735108
1967,-161.027395,23.74919837
3995,-161.0277942,23.85024074
2558,-161.0289892,24.72135346
3578,-161.033942,25.56039122
1707,-161.0351298,22.6674144
3518,-161.0352091,25.05598066
4063,-161.0354382,23.41733825
3042,-161.036056,23.2082549
2491,-161.0361979,22.84697373
2475,-161.0374803,21.99418982
4013,-161.0385707,24.58100977
1774,-161.0390538,22.88109045
1962,-161.0395148,22.07577133
3562,-161.0404801,24.21405727
4019,-161.0446721,25.51634761
2031,-161.0466792,24.30078313
3038,-161.0470388,23.54392041
2286,-161.0481394,22.28589545
3059,-161.0555586,24.4879526
3043,-161.058832,24.13803224
1726,-161.0589967,24.05835585
4002,-161.0604918,23.64056392
2682,-161.0606363,22.13669589
1711,-161.0610509,23.18635381
3034,-161.061767,23.23293016
2922,-161.062029,22.72901654
3690,-161.0635878,24.42202315
3039,-161.0636229,23.46226213
3567,-161.0655943,24.58207234
2802,-161.0694979,24.10529817
2282,-161.0709861,21.80022405
4007,-161.0725931,23.78696995
3766,-161.074014,25.04819253
2539,-161.0745433,22.31489516
3887,-161.0774969,24.5357116
3519,-161.078094,23.6494095
4018,-161.0789484,23.33080334
3962,-161.0794164,24.76385558
2743,-161.0805975,23.39276497
2995,-161.0831948,25.47924979
2715,-161.0832065,22.54419231
2474,-161.0840791,15.77727369
1723,-161.0847593,24.48666835
3263,-161.0850425,24.16279143
2812,-161.0870326,23.7723889
2982,-161.0906129,21.94272289
2875,-161.0927793,25.05824964
1978,-161.0929826,23.45715635
3646,-161.0936543,24.38794626
3631,-161.0938817,25.32783369
3064,-161.0943789,23.33012389
3627,-161.0947374,23.89293012
4082,-161.0977058,23.96667839
3502,-161.0978391,24.20067348
3000,-161.09796,23.21815433
3062,-161.0985704,24.5171777
2878,-161.0986741,24.53607148
3883,-161.0987989,24.24935488
2989,-161.099519,23.88433657
2686,-161.1011651,24.53774985
2299,-161.1014849,23.96033621
2671,-161.1025384,22.2043481
2749,-161.1028225,22.57364433
2796,-161.1046401,21.97721809
3978,-161.104889,24.96886803
2803,-161.1056592,24.13188204
3019,-161.1063103,24.2692764
4086,-161.1063325,24.46427651
2619,-161.1067923,24.21573453
3258,-161.1083187,23.2789483
2998,-161.1084687,22.73593995
2714,-161.1088629,16.44266481
3773,-161.1091222,24.86410509
2732,-161.1092986,22.48389427
3626,-161.1094375,24.43712942
4008,-161.1095236,23.53910862
2938,-161.1100253,22.54124807
2559,-161.1114255,23.61706139
3950,-161.1127471,23.77013142
2762,-161.1127818,19.29378945
3767,-161.1145383,25.07405754
3065,-161.1145455,23.51152373
4093,-161.1148731,24.66679245
2943,-161.1171521,23.46568455
3886,-161.1172068,24.35116661
4047,-161.1177531,23.89106635
2939,-161.1178567,24.21823183
2606,-161.1181501,20.66011886
2683,-161.1184132,24.69988824
3882,-161.1187628,23.77396039
2046,-161.1211801,22.5817663
4066,-161.1215093,24.62694573
4083,-161.121889,24.92105662
2984,-161.1219325,9.181367536
2879,-161.1222665,24.75505999
2975,-161.1243935,23.18726128
3833,-161.1251875,25.05131366
3832,-161.1258249,23.79976621
2479,-161.1277959,23.11891804
3743,-161.1304053,23.40622246
3307,-161.1307616,24.59845052
3816,-161.1307732,23.11043486
2622,-161.1312878,23.16035276
3035,-161.131551,23.12845504
3022,-161.1338436,24.02886448
3052,-161.1339339,21.30773188
3322,-161.1346069,24.26719003
3499,-161.1351157,23.63372989
3691,-161.1387264,24.20531662
3753,-161.1397869,23.2829277
3827,-161.140379,25.22777482
2766,-161.1408878,23.31482129
3018,-161.141983,22.47483308
2923,-161.1426136,22.63893282
2979,-161.1451582,24.06008029
3836,-161.1457872,24.12253466
3830,-161.1458314,24.2902952
3711,-161.1465679,24.7760435
2238,-161.1475783,23.68124563
3643,-161.148768,24.38703125
3983,-161.1491224,23.16832023
3772,-161.1507567,24.19569643
2723,-161.1512788,21.8705703
3902,-161.151919,24.11553346
3311,-161.1519664,24.62853204
3821,-161.1524132,24.08735491
3768,-161.152518,23.22828895
2942,-161.1525336,24.12008515
3747,-161.1529943,24.19690334
4089,-161.1552997,24.20958626
3023,-161.1573309,23.5927899
3710,-161.1586017,25.10694105
2733,-161.1588782,20.78197012
4028,-161.1593767,24.96823986
3326,-161.1614657,25.17374452
4071,-161.1622395,26.27068064
2222,-161.1630364,20.60228081
2858,-161.1637868,23.29300063
2985,-161.1639047,22.59812625
4003,-161.1644649,24.04112572
3630,-161.164473,23.77753416
4006,-161.1651404,24.74160349
2778,-161.1654197,21.85180328
3811,-161.1656136,24.25858196
2859,-161.1656964,25.17315637
3790,-161.166768,24.09267028
2239,-161.167699,23.79504025
3004,-161.1678268,23.65503077
4024,-161.1679766,22.96303493
2955,-161.1689567,23.89077344
3058,-161.1699912,23.72080022
2719,-161.1707655,22.92856693
3899,-161.1713091,24.92435861
3746,-161.1717347,22.10330536
4070,-161.1719163,25.25770743
4077,-161.1740915,25.79448626
2234,-161.1764781,21.71913598
3707,-161.1772188,24.57726906
3046,-161.179501,23.19505048
4072,-161.1795817,25.05591374
2978,-161.1820636,22.47462227
2791,-161.1834676,21.46783202
4092,-161.1840023,24.78848937
3053,-161.1852321,23.91996345
3967,-161.1853198,23.70788242
4076,-161.1862,24.01358687
2739,-161.1864234,24.5731232
2988,-161.186843,20.80606844
2745,-161.1872966,22.40821245
2219,-161.1876823,20.8672098
3048,-161.1900655,8.922482414
4088,-161.1902385,24.57135572
3647,-161.1904399,24.45961962
3946,-161.1914898,24.13466469
2926,-161.191854,23.61293517
3966,-161.1928297,25.03498536
3242,-161.1936683,25.11395308
3069,-161.1945648,23.18854542
2954,-161.1950397,21.98922603
2727,-161.195296,20.73105519
3791,-161.1963341,23.68877266
2862,-161.2000812,23.35384166
3826,-161.2004839,23.92121649
2792,-161.2009723,9.138170297
3259,-161.201603,25.53930726
3982,-161.2018236,24.74525637
3817,-161.2032239,24.30246027
3786,-161.2039666,24.40474062
3769,-161.204059,24.02981217
2793,-161.2041953,20.8225297
3243,-161.2047865,24.91194238
2786,-161.2056247,20.28497336
2994,-161.2071337,24.44545694
3750,-161.2081954,23.05810566
3947,-161.208857,23.6983204
3068,-161.213339,24.30232093
3063,-161.2133815,23.89781117
2670,-161.2138098,20.55585909
2813,-161.214199,23.58358835
3723,-161.2146861,24.76182742
2283,-161.2157458,20.93285592
3815,-161.2162262,25.07769057
4043,-161.2164702,24.00277074
2303,-161.2165728,26.09950543
2744,-161.2191355,23.96739419
4046,-161.220104,24.33772238
3757,-161.2224462,24.85175385
3963,-161.2225648,24.78030369
2863,-161.2232119,23.64591365
3327,-161.2240912,24.81123104
3837,-161.2248046,24.43943684
2807,-161.2250954,24.0792653
4087,-161.2256173,25.13694987
3763,-161.225714,24.91897962
2738,-161.2260778,23.31816949
3752,-161.2268239,23.3761271
3727,-161.2275666,24.49235087
4073,-161.2285016,24.01344434
3001,-161.2310626,24.15687575
2218,-161.2326936,8.291118906
2787,-161.2327634,22.03650762
2959,-161.2342227,24.00112854
2983,-161.2351231,23.12122336
3323,-161.2362527,25.81673456
2742,-161.2371078,22.24350742
3951,-161.2371539,25.22123074
2763,-161.2376756,21.27754953
2806,-161.2410647,22.98987707
2687,-161.2416834,23.51223817
3787,-161.2417499,24.59957982
2607,-161.2417932,22.45329279
3695,-161.2429301,24.52552367
2602,-161.2431532,8.479896061
2808,-161.2444236,22.48572442
3898,-161.2444447,24.3933482
3246,-161.2461138,25.50745593
3310,-161.2462544,25.11027377
4009,-161.2462838,24.75719107
4022,-161.2491994,24.87106772
2618,-161.251188,22.37575036
4025,-161.2574503,23.96015283
3047,-161.2596432,22.97806118
3726,-161.2596767,24.43559174
4067,-161.2599243,24.23720036
3706,-161.2614996,23.3898316
4042,-161.263448,25.76162041
3762,-161.2646148,22.73187713
3049,-161.2668164,22.68105616
4029,-161.2685064,24.43630096
3756,-161.2696532,24.89996421
2298,-161.2713078,24.86948172
2223,-161.2727061,21.65629985
3306,-161.2731261,25.13942851
2726,-161.2756733,8.717617943
2999,-161.275748,24.70233392
2958,-161.277092,23.96916659
2287,-161.2803092,22.04834058
4023,-161.280926,25.13785732
2797,-161.2825605,21.26061865
3247,-161.2842767,25.38529258
4012,-161.2869865,25.10163125
3005,-161.2871706,23.06794109
2703,-161.2895823,22.39926189
2767,-161.2896667,22.941859
2927,-161.2917154,23.84774534
3820,-161.2948403,24.86041765
3814,-161.2965261,24.56353411
3979,-161.304209,24.64358319
2666,-161.3055643,8.508479992
3903,-161.3104595,23.46184523
2729,-161.3179782,8.599177566
2667,-161.3193351,21.79895255
2809,-161.3251842,23.03571915
2623,-161.3263164,23.60035841
2702,-161.332079,20.42501806
2302,-161.3339411,25.22870635
2603,-161.3356772,20.7675506
2722,-161.3402649,8.469542576
2728,-161.3449437,8.892917699
2748,-161.3502277,23.55093797
3262,-161.3578874,24.7810262
2235,-161.3601297,23.94412577
3831,-161.3857376,24.0688896
2698,-161.483025,8.388425126
2790,-161.5444237,19.88006493
1514,-161.8008225,21.20576502
1754,-161.8360958,21.74702177
1755,-161.8601885,22.66840608
1946,-161.8861156,21.89818496
1947,-161.8894555,23.89559621
2463,-161.8982499,21.07887112
3550,-161.8989716,23.51981427
1519,-161.9003847,23.63711317
1455,-161.9037048,23.85797457
1466,-161.9109011,23.22025545
3482,-161.9124673,23.94969864
1695,-161.9148607,22.40754365
1470,-161.9154897,23.65965814
1530,-161.9371254,23.94220726
3483,-161.9466377,23.40573543
1454,-161.9473782,22.28433659
1534,-161.9537918,22.68466787
3547,-161.9587459,23.45308734
1450,-161.96092,15.99533887
1691,-161.9687492,22.16182685
1535,-161.9757468,24.23366593
1834,-161.9768737,23.1961425
3438,-161.9799187,24.46643584
3931,-161.9801899,23.82783168
1211,-161.9810038,25.0430868
3551,-161.9821854,24.75591972
2458,-161.9885995,16.35224375
2010,-161.9898243,23.70715644
1758,-161.9919501,22.71994063
3391,-161.9993398,23.63245081
4061,-161.9996063,23.30288615
2492,-162.0033513,24.1225087
1451,-162.0052654,21.83738092
1773,-162.009436,22.94845376
2351,-162.0108512,23.54238493
3487,-162.0134802,23.9763494
1720,-162.0215626,23.63032666
1515,-162.0217953,22.99898775
2431,-162.0223515,24.29779026
2015,-162.0235269,23.09436458
2459,-162.0248125,22.79289787
4057,-162.0255043,23.88955547
2546,-162.0293984,23.95253562
1759,-162.0330743,22.02534354
3530,-162.0348707,25.22700538
1694,-162.0358708,22.25399515
2843,-162.036003,23.08246674
1531,-162.0368416,24.44856674
1675,-162.0374053,24.06924505
1518,-162.0427166,22.44895713
3494,-162.0427319,24.69186858
